Yo soy profesor.;I am a teacher.
Nadie quiere hacer las tareas domésticas.;Nobody wants to do the chores.
No habló con nadie sobre sus planes.;She spoke to no one about her plans.
Nadie es perfecto.;Nobody is perfect.
No hay nadie como tú.;There is no one like you.
Todos están aquí.;Everybody is here.
A todos les encanta el chocolate.;Everyone loves chocolate.
Todo el mundo sabe eso.;Everybody knows that.
¡Bienvenidos todos!;Welcome, everyone!
Todos aplaudieron al final.;Everybody clapped at the end.
¿Han terminado todos de comer?;Has everyone finished their meal?
Todo el mundo necesita un amigo.;Everyone needs a friend.
Todos estaban contentos con el resultado.;Everybody was happy with the result.
Dile a todos la buena noticia.;Tell everyone the good news.
Todo el mundo comete errores.;Everybody makes mistakes.
Necesito algo de comer.;I need something to eat.
Hay algo extraño en esto.;There is something strange about this.
¿Puedo traerte algo de beber?;Can I get you something to drink?
Dijo algo interesante.;She said something interesting.
Quiero decirte algo.;I want to tell you something.
¿Pasa algo malo?;Is there something wrong?
Él está buscando algo.;He is looking for something.
Compré algo para ti.;I bought something for you.
Hagamos algo divertido.;Let's do something fun.
Siento que algo bueno está a punto de suceder.;I feel like something good is about to happen.
¿Necesitas algo? / ¿Necesitas cualquier cosa?;Do you need anything?
No quiero nada.;I don't want anything.
Puedes elegir cualquier cosa que te guste.;You can choose anything you like.
¿Hay algo que pueda hacer?;Is there anything I can do?
Ella no dijo nada.;She didn't say anything.
Él comerá cualquier cosa.;He will eat anything.
No he hecho nada malo.;I haven't done anything wrong.
¿Puedo pedir cualquier cosa del menú?;Can I have anything from the menu?
Avísame si encuentras algo.;Tell me if you find anything.
No hay nada mejor que esto.;There isn't anything better than this.
No hay nada en la caja.;There is nothing in the box.
No sé nada al respecto.;I know nothing about it.
Ella no dijo nada. (O: Nada dijo.);She said nothing.
Nada es imposible.;Nothing is impossible.
No tenemos nada que perder.;We have nothing to lose.
No hizo nada en todo el día.;He did nothing all day.
No hay nada de qué preocuparse.;There's nothing to worry about.
Nada puede detenernos ahora.;Nothing can stop us now.
No quiero nada más.;I want nothing more.
Nada dura para siempre.;Nothing lasts forever.
Todo está listo.;Everything is ready.
Le conté todo.;I told him everything.
¿Está todo bien?;Is everything okay?
Ella sabe todo sobre coches.;She knows everything about cars.
Todo estará bien.;Everything will be alright.
Perdió todo en el incendio.;He lost everything in the fire.
Llévate todo lo que necesites.;Take everything you need.
El dinero no lo es todo.;Money isn't everything.
Lo recuerdo todo.;I remember everything.
Todo ha cambiado.;Everything has changed.
Mis llaves deben estar en algún lugar por aquí.;My keys must be somewhere around here.
Vamos a algún lugar agradable para cenar.;Let's go somewhere nice for dinner.
He visto tu cara en algún lugar antes.;I've seen your face somewhere before.
Quiere viajar a algún lugar exótico.;She wants to travel somewhere exotic.
Podemos encontrar un refugio en algún lugar.;We can find a shelter somewhere.
Puedes sentarte en cualquier lugar que quieras.;You can sit anywhere you like.
No encuentro mi teléfono en ningún lugar.;I can't find my phone anywhere.
¿Fuiste a algún lugar interesante de vacaciones?;Did you go anywhere interesting on vacation?
No fuimos a ningún sitio anoche.;We didn't go anywhere last night.
Con este pase, puedes ir a cualquier lugar.;With this pass, you can go anywhere.
No hay ningún lugar donde esconderse.;There is nowhere to hide.
No tengo ningún otro lugar adonde ir.;I have nowhere else to go.
Este camino no lleva a ningún lugar.;This road leads nowhere.
Nos encontramos en medio de la nada.;We found ourselves in the middle of nowhere.
No fue a ningún lugar ayer.;He went nowhere yesterday.
He buscado mis gafas por todas partes.;I've looked everywhere for my glasses.
La gente celebraba por todas partes.;People were celebrating everywhere.
Hay belleza en todas partes.;There is beauty everywhere.
Tiene amigos en todas partes.;She has friends everywhere.
El polvo se mete por todas partes en esta casa.;Dust gets everywhere in this house.
Cada estudiante recibió un libro.;Each student received a book.
Cada uno de ellos tiene una opinión diferente.;Each of them has a different opinion.
Puedes elegir cualquiera de las dos opciones.;You can choose either of the two options.
No me gusta ninguno de los dos.;I don't like either of them.
Ninguna de las respuestas es correcta.;Neither answer is correct.
Ninguno de nosotros quiere ir.;Neither of us wants to go.
Ambas respuestas son correctas.;Both answers are correct.
Me gustan ambos.;I like both of them.
Algunas personas prefieren el té.;Some people prefer tea.
Necesito algo de azúcar.;I need some sugar.
¿Tienes alguna pregunta?;Do you have any questions?
No tengo nada de dinero.;I don't have any money.
Ninguno de los invitados llegó a tiempo.;None of the guests arrived on time.
Quería pastel, pero no quedaba ninguno.;I wanted some cake, but there was none left.
Todos los estudiantes aprobaron el examen.;All the students passed the exam.
Todo está perdido.;All is lost.
Varias personas se quejaron.;Several people complained.
He leído varios de sus libros.;I have read several of his books.
Muchas personas piensan así.;Many people think so.
No muchos vinieron a la reunión.;Not many came to the meeting.
Pocas personas entienden este concepto.;Few people understand this concept.
Tengo pocos amigos aquí.;I have few friends here.
Hay poca esperanza.;There is little hope.
Tengo poco tiempo.;I have little time.
No tengo mucho trabajo que hacer.;I don't have much work to do.
¿Cuánto cuesta?;How much does it cost?
Uno siempre debería ser educado.;One should always be polite.
Uno nunca sabe.;One never knows.
El libro que me diste es fascinante.;The book that you gave me is fascinating.
La mujer que vive al lado es doctora.;The woman who lives next door is a doctor.
El perro cuyo rabo es corto es muy amigable.;The dog whose tail is short is very friendly.
El coche, que es rojo, es de mi hermano.;The car, which is red, belongs to my brother.
El hombre a quien conocí ayer es profesor.;The man whom I met yesterday is a teacher.
Esta es la casa que Jack construyó.;This is the house that Jack built.
La chica que ganó el premio es mi hermana.;The girl who won the prize is my sister.
El artista cuyas pinturas son famosas viene.;The artist whose paintings are famous is coming.
El portátil, que compré la semana pasada, es rápido.;The laptop, which I bought last week, is fast.
La persona a quien llamaste no está aquí.;The person whom you called is not here.
La película que vimos fue emocionante.;The movie that we watched was exciting.
El niño que está jugando fútbol es mi primo.;The boy who is playing soccer is my cousin.
El autor cuyo libro vendió millones es rico.;The author whose book sold millions is rich.
El teléfono, que es nuevo, funciona perfectamente.;The phone, which is new, works perfectly.
El profesor al que admiramos se está jubilando.;The teacher whom we admire is retiring.
El pastel que ella horneó estaba delicioso.;The cake that she baked was delicious.
El doctor que me atendió fue muy amable.;The doctor who treated me was very kind.
El estudiante cuyo proyecto ganó es brillante.;The student whose project won is brilliant.
El vestido, que es azul, se ve hermoso.;The dress, which is blue, looks beautiful.
La mujer con quien se casó es abogada.;The woman whom he married is a lawyer.
La canción que cantaste fue increíble.;The song that you sang was amazing.
El hombre que arregló mi coche es mecánico.;The man who fixed my car is a mechanic.
El gato cuyas patas son blancas es mío.;The cat whose paws are white is mine.
El bolso, que es negro, es muy elegante.;The bag, which is black, is very stylish.
El amigo en quien confío más es honesto.;The friend whom I trust the most is honest.
Las llaves que perdí fueron encontradas.;The keys that I lost were found.
El actor que interpretó al héroe es famoso.;The actor who played the hero is famous.
La empresa cuyos beneficios aumentaron se está expandiendo.;The company whose profits increased is expanding.
El bolígrafo, que es caro, escribe bien.;The pen, which is expensive, writes well.
El chico al que ella ama está en su clase.;The boy whom she loves is in her class.
La idea que propusiste es genial.;The idea that you proposed is great.
La mujer que está cantando tiene una voz hermosa.;The woman who is singing has a lovely voice.
El perro cuyo dueño está fuera ladra mucho.;The dog whose owner is away barks a lot.
La computadora, que es vieja, aún funciona.;The computer, which is old, still works.
El profesor al que respetamos es estricto.;The professor whom we respect is strict.
Las flores que plantaste están floreciendo.;The flowers that you planted are blooming.
El niño que está llorando necesita atención.;The child who is crying needs attention.
El escritor cuyas novelas son éxitos está aquí.;The writer whose novels are bestsellers is here.
La mesa, que es de madera, es resistente.;The table, which is wooden, is sturdy.
La chica a quien invitaste es mi amiga.;The girl whom you invited is my friend.
La noticia que me dijiste fue impactante.;The news that you told me was shocking.
El piloto que voló el avión era experimentado.;The pilot who flew the plane was experienced.
El pájaro cuyo nido está en el árbol canta.;The bird whose nest is in the tree sings.
La cámara, que es digital, toma fotos geniales.;The camera, which is digital, takes great photos.
El hombre al que contrataron es muy hábil.;The man whom they hired is very skilled.
Los zapatos que compré son cómodos.;The shoes that I bought are comfortable.
El profesor que explica bien es popular.;The teacher who explains well is popular.
El bebé cuyo pañal está sucio está llorando.;The baby whose diaper is dirty is crying.
El reloj, que es de oro, es caro.;The watch, which is gold, is expensive.
La mujer a quien admira es su jefa.;The woman whom he admires is his boss.
El problema que enfrentamos fue difícil.;The problem that we faced was difficult.
El atleta que ganó la carrera está feliz.;The athlete who won the race is happy.
El árbol cuyas hojas cayeron es viejo.;The tree whose leaves fell is old.
El teléfono, que está roto, necesita reparación.;The phone, which is broken, needs repair.
El estudiante al que el profesor alabó es inteligente.;The student whom the teacher praised is smart.
El regalo que enviaste llegó hoy.;The gift that you sent arrived today.
El chef que cocinó esta comida es talentoso.;The chef who cooked this meal is talented.
La casa cuyo techo es rojo es mía.;The house whose roof is red is mine.
La bicicleta, que es azul, es rápida.;The bike, which is blue, is fast.
El hombre al que ella ayudó estaba agradecido.;The man whom she helped was grateful.
La respuesta que diste fue correcta.;The answer that you gave was correct.
La cantante que actuó anoche fue increíble.;The singer who performed last night was amazing.
El perro cuyo ladrido es fuerte da miedo.;The dog whose bark is loud is scary.
La chaqueta, que es de cuero, es abrigada.;The jacket, which is leather, is warm.
El niño al que acosaron estaba triste.;The boy whom they bullied was sad.
La carta que escribí fue larga.;The letter that I wrote was long.
La mujer que está bailando es mi tía.;The woman who is dancing is my aunt.
El coche cuyo motor hace ruido necesita arreglo.;The car whose engine is noisy needs fixing.
El anillo, que es de plata, es bonito.;The ring, which is silver, is pretty.
El doctor al que recomendaste es excelente.;The doctor whom you recommended is excellent.
La historia que contaste fue interesante.;The story that you told was interesting.
El niño que rompió la ventana se disculpó.;The boy who broke the window apologized.
El gato cuyos ojos son verdes es juguetón.;The cat whose eyes are green is playful.
La tele, que es nueva, tiene pantalla grande.;The TV, which is new, has a big screen.
La chica que le gusta está en su clase.;The girl whom he likes is in his class.
La decisión que tomamos fue final.;The decision that we made was final.
El profesor que pone tarea es estricto.;The teacher who assigns homework is strict.
La casa cuya puerta es verde está en venta.;The house whose door is green is for sale.
La taza, que es de cerámica, es frágil.;The cup, which is ceramic, is fragile.
El hombre con quien se casó es amable.;The man whom she married is kind.
El juego que jugamos fue divertido.;The game that we played was fun.
La chica que está leyendo es mi hermana.;The girl who is reading is my sister.
El perro cuyo nombre es Max es amigable.;The dog whose name is Max is friendly.
El libro, que es un éxito de ventas, está agotado.;The book, which is a bestseller, is sold out.
La mujer a quien conociste es mi vecina.;The woman whom you met is my neighbor.
La regla que establecieron es justa.;The rule that they established is fair.
El jugador que anotó el gol es un héroe.;The player who scored the goal is a hero.
La empresa cuyo director renunció está en problemas.;The company whose CEO resigned is struggling.
El sombrero, que es de lana, es abrigado.;The hat, which is wool, is warm.
El niño al que elogiaron es talentoso.;The boy whom they praised is talented.
El consejo que diste fue útil.;The advice that you gave was helpful.
La mujer que está hablando es la gerente.;The woman who is speaking is the manager.
El gato cuyo rabo es largo es ágil.;The cat whose tail is long is agile.
El coche, que es eléctrico, es ecológico.;The car, which is electric, is eco-friendly.
El estudiante al que el profesor regañó estaba molesto.;The student whom the teacher scolded was upset.
La película que vimos anoche fue de miedo.;The movie that we saw last night was scary.
El doctor que salvó mi vida es un héroe.;The doctor who saved my life is a hero.
El artista cuyo trabajo es famoso es humilde.;The artist whose work is famous is humble.
El teléfono, que es resistente al agua, es duradero.;The phone, which is waterproof, is durable.
El hombre en quien ella confía es su padre.;The man whom she trusts is her father.
Se aman mucho el uno al otro;They love each other very much
Los estudiantes se ayudan mutuamente con sus tareas;The students help one another with their homework
Nos escribimos el uno al otro cada semana;We write to each other every week
Los vecinos se saludan unos a otros cuando se encuentran;The neighbors greet one another when they meet
Los niños estaban peleando entre sí;The children were fighting with each other
Respetan las opiniones de los demás;They respect one another's opinions
Los miembros del equipo confían completamente unos en otros;The team members trust each other completely
Nos damos regalos mutuamente en Navidad;We give presents to one another on Christmas
Los gemelos se cuidan el uno al otro;The twins look after each other
Los colegas se apoyan unos a otros durante tiempos difíciles;The colleagues support one another during difficult times
Se enviaron mensajes graciosos entre sí;They sent each other funny messages
Los jugadores se felicitaron mutuamente después del partido;The players congratulated one another after the game
Prometemos ser honestos el uno con el otro;We promise to be honest with each other
Las hermanas comparten ropa entre ellas;The sisters share clothes with one another
La pareja se besó al despedirse;The couple kissed each other goodbye
Los excursionistas se advirtieron unos a otros sobre el camino peligroso;The hikers warned one another about the dangerous path
Nos echamos de menos durante las vacaciones;We missed each other during the holidays
Los músicos se inspiran creativamente unos a otros;The musicians inspire one another creatively
Los perros se ladraban entre sí;The dogs were barking at each other
Los miembros de la familia se preocupan profundamente unos por otros;The family members care for one another deeply
Se abrazaron fuertemente el uno al otro;They hugged each other tightly
Los compañeros de habitación respetan la privacidad del otro;The roommates respect one another's privacy
Prometimos protegernos el uno al otro;We promised to protect each other
Los científicos colaboraron entre sí en la investigación;The scientists collaborated with one another on the research
La pareja se tomó de las manos durante la película;The couple held each other's hands during the movie
Los niños se contaban historias unos a otros;The children were telling stories to one another
Se llaman todas las noches antes de dormir;They call each other every night before bed
Los bailarines se movían alrededor unos de otros con gracia;The dancers moved around one another gracefully
Necesitamos escucharnos más atentamente el uno al otro;We need to listen to each other more carefully
Las parejas se confían todo mutuamente;The partners confide in one another about everything
Se lanzaron miradas significativas el uno al otro;They gave each other meaningful glances
Los atletas compitieron entre sí de manera justa;The athletes competed against one another fairly
Deberíamos perdonarnos el uno al otro por nuestros errores;We should forgive each other for our mistakes
Los soldados se protegieron mutuamente en la batalla;The soldiers protected one another in battle
Las hermanas se prestan ropa entre sí todo el tiempo;The sisters borrow clothes from each other all the time
Los miembros de la banda critican constructivamente las actuaciones de los demás;The band members criticize one another's performances constructively
Prometieron apoyarse mutuamente pase lo que pase;They promised to stand by each other no matter what
Los miembros del equipo se motivan unos a otros durante la práctica;The team members motivate one another during practice
Nos enseñamos nuevas habilidades mutuamente;We teach each other new skills
Los pájaros se cantan unos a otros al amanecer;The birds sing to one another at dawn
Los amigos se sorprendieron con regalos mutuamente;The friends surprised each other with gifts
Los empleados cooperaron entre sí para terminar el proyecto;The employees cooperated with one another to finish the project
Crecimos admirando los talentos del otro;We grew up admiring each other's talents
Los autores a menudo se citan unos a otros en sus libros;The authors often quote one another in their books
Se perdonaron después de la discusión;They forgave each other after the argument
Los participantes se presentaron unos a otros;The participants introduced themselves to one another
Mantuvimos secretos el uno del otro durante demasiado tiempo;We kept secrets from each other for too long
Los gatos se sisearon entre sí durante su primer encuentro;The cats hissed at one another during their first meeting
Los hermanos se defienden mutuamente contra los acosadores;The brothers defend each other against bullies
Los amigos se consolaron mutuamente después de escuchar la triste noticia;The friends comforted one another after hearing the sad news
Se susurraron durante la ceremonia;They whispered to each other during the ceremony
Los diplomáticos negociaron entre sí durante horas;The diplomats negotiated with one another for hours
Nos sonreímos el uno al otro desde el otro lado de la habitación;We smiled at each other across the room
Los hermanos se burlaban juguetonamente unos de otros;The siblings teased one another playfully
La pareja se escribió cartas de amor mientras estaban separados;The couple wrote love letters to each other while apart
Los inversores se consultaron entre sí antes de tomar una decisión;The investors consulted with one another before making a decision
Prometimos sernos fieles el uno al otro para siempre;We promised to be faithful to each other forever
Los equipos compitieron entre sí en el torneo;The teams competed against one another in the tournament
Se elogiaron mutuamente por sus atuendos;They complimented each other on their outfits
Las naciones comerciaron entre sí durante siglos;The nations traded with one another for centuries
Dependemos unos de otros en tiempos de crisis;We depend on each other in times of crisis
Los políticos se acusaron mutuamente de mentir;The politicians accused one another of lying
Los compañeros de clase se animaron antes del examen;The classmates encouraged each other before the exam
Los bailarines se movían sincronizados entre sí;The dancers moved in sync with one another
Asintieron el uno al otro en silencioso acuerdo;They nodded to each other in silent agreement
Los investigadores compartieron datos abiertamente entre sí;The researchers shared data with one another openly
Nos cuidamos como familia;We look out for each other like family
Los países se apoyaron mutuamente durante el desastre natural;The countries supported one another during the natural disaster
Se saludaron con la mano desde lados opuestos de la calle;They waved to each other from opposite sides of the street
Los miembros del comité se interrumpían constantemente;The committee members interrupted one another constantly
Nos reímos de los chistes del otro;We laughed at each other's jokes
Las empresas compiten entre sí por la cuota de mercado;The companies compete with one another for market share
Lloraron en los hombros del otro después del funeral;They cried on each other's shoulders after the funeral
Los artistas criticaron constructivamente el trabajo de los demás;The artists critiqued one another's work constructively
Nos guiñamos el ojo a través de la mesa;We wink at each other across the table
Los cachorros jugaron entre sí toda la tarde;The puppies played with one another all afternoon
La pareja termina las frases del otro;The couple finish each other's sentences
Los lingüistas tradujeron unos para otros en la conferencia;The linguists translated for one another at the conference
Nos defendimos mutuamente cuando nadie más lo haría;We stood up for each other when nobody else would
Los vecinos se prestaban herramientas frecuentemente;The neighbors borrowed tools from one another frequently
Se enviaron postales de sus viajes;They sent each other postcards from their travels
Los planetas giran alrededor unos de otros debido a la gravedad;The planets revolve around one another due to gravity
Aprendimos de los errores del otro;We learned from each other's mistakes
Las parejas respetan los límites del otro;The partners respect one another's boundaries
Los niños se enseñaron juegos de sus países;The children taught each other games from their countries
Los aliados se defendieron mutuamente durante el conflicto;The allies defended one another during the conflict
Se tomaron fotos frente al monumento;They took photos of each other in front of the monument
Los académicos se citaban mutuamente en sus trabajos académicos;The scholars cited one another in their academic papers
Nos revisamos mutuamente todos los días;We check on each other every day
Las familias vivieron unas junto a otras durante generaciones;The families lived next to one another for generations
Se preocuparon el uno por el otro durante la tormenta;They worried about each other during the storm
Los pacientes se apoyaron entre sí durante la terapia;The patients supported one another during therapy
Nos recordamos mutuamente las citas importantes;We reminded each other of important appointments
Los testigos se contradijeron mutuamente en el tribunal;The witnesses contradicted one another in court
La pareja se impulsó mutuamente para lograr sus sueños;The couple pushed each other to achieve their dreams
Las tribus intercambiaron bienes entre sí durante siglos;The tribes traded goods with one another for centuries
Se cubrieron las espaldas en situaciones peligrosas;They watched each other's backs in dangerous situations
Los oradores se sucedieron en orden alfabético;The speakers followed one another in alphabetical order
Pensamos el uno en el otro durante la larga separación;We thought about each other during the long separation
Las estrellas orbitan alrededor unas de otras en sistemas binarios;The stars orbit around one another in binary systems
